Date,Open_Interest,FM_Long,FM_Short,FM_Net,FM_WeeklyChange,FM_Pctile_3yr_Rolling,RM_Long,RM_Short,RM_Net,RM_WeeklyChange
2014-03-04,880372.0,100658.0,201389.0,-100731.0,-8666.0,24.2,304094.0,104044.0,200050.0,5263.0
2014-03-11,899687.0,94790.0,202750.0,-107960.0,-7228.0,19.75,309714.0,101251.0,208463.0,8413.0
2014-03-18,1029593.0,106060.0,205758.0,-99698.0,8262.0,25.48,315704.0,103825.0,211879.0,3417.0
2014-03-25,683526.0,90698.0,180300.0,-89602.0,10096.0,43.95,322290.0,95446.0,226844.0,14965.0
2014-04-01,681463.0,93306.0,170812.0,-77506.0,12096.0,60.51,313918.0,93509.0,220409.0,-6436.0
2014-04-08,676428.0,83106.0,164129.0,-81023.0,-3519.0,52.87,309079.0,98475.0,210604.0,-9804.0
2014-04-15,688040.0,88643.0,171139.0,-82496.0,-1473.0,50.32,302350.0,102425.0,199925.0,-10679.0
2014-04-22,686751.0,99876.0,170962.0,-71086.0,11410.0,68.79,299665.0,96748.0,202917.0,2992.0
2014-04-29,702673.0,101578.0,165198.0,-63620.0,7467.0,78.34,296518.0,96468.0,200050.0,-2867.0
2014-05-06,703712.0,90275.0,175210.0,-84935.0,-21315.0,45.22,300252.0,99409.0,200843.0,793.0
2014-05-13,729317.0,98148.0,181172.0,-83024.0,1911.0,48.41,305537.0,96193.0,209344.0,8500.0
2014-05-20,742933.0,86024.0,186096.0,-100072.0,-17048.0,21.66,301965.0,97194.0,204771.0,-4573.0
2014-05-27,758245.0,97311.0,186592.0,-89281.0,10791.0,40.76,306752.0,96490.0,210262.0,5491.0
2014-06-03,774514.0,98320.0,193478.0,-95158.0,-5877.0,32.48,315566.0,96554.0,219012.0,8750.0
2014-06-10,814572.0,103322.0,199872.0,-96550.0,-1392.0,30.57,314012.0,92767.0,221245.0,2233.0
2014-06-17,914025.0,110856.0,212937.0,-102081.0,-5531.0,18.47,316095.0,96407.0,219688.0,-1557.0
