"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),Backtested Returns (Lose Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Holding Period (All Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"PPL.TO, Long, 2026-05-03 (Price: 63.2)",2026-06-14 (Price: 67.59),"6.95%, 1.4 month","88.24%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-05-01",Already confirmed,"2026-06-22 (Price: 65.77), 4.07% above",1.7 month,"0, 2024-10-20 (Price: 59.86)",2026-04-26 (Price: 59.29),2026-05-01 (Price: 63.2),57/52/50 days,10.93% above/4.07% above/4.07% above,2024-10-20 (Price: 59.86)/2026-05-03 (Price: 58.8247),10.91%/2.92%/6.05%,-12.46%/-31.85%/-22.16%,"31.85%, 56.46%",2.3 years/1.2 month/7.7 months,2.3 years/1.2 month/8.3 months,2029-08-12/2026-06-24/2027-04-02,3.29%,4.52%,-1.23%,0.03,0.22,66.9351/67.0236/65.2/No Horizontal Resistance/65.6559/68.3455/No EMA 200 Target,58.17/37.49/56.5867/51.3443/No F-Track Level/No F-Track Level/55.41,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),59.37
"AIA.NZ, Long, 2026-05-01 (Price: 8.37)",2026-06-22 (Price: 8.52),"1.79%, 1.7 month","91.67%, Past 4 years, 36","Daily, is CONFIRMED on 2026-05-01",Already confirmed,"2026-06-22 (Price: 8.52), 1.79% above",1.7 month,"2, 2026-02-27 (Price: 9.18)",2026-04-30 (Price: 8.25),2026-05-01 (Price: 8.37),53/52/52 days,3.27% above/1.79% above/1.79% above,2026-02-27 (Price: 9.18)/2026-05-01 (Price: 8.1055),7.1%/0.39%/3.52%,-3.83%/-6.37%/-5.35%,"6.37%, 18.81%",4.7 months/7 days/1.1 month,11.9 months/0 days/1.6 month,2026-11-21/2026-05-11/2026-06-17,10.06%,3.03%,7.03%,0.58,0.11,8.7266/8.6646/8.86/8.953/11.1706/12.8535/No EMA 200 Target,8.15/7.0/7.3934/6.6643/No F-Track Level/No F-Track Level/8.08,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),8.25
"SFTBY, Long, 2026-04-26 (Price: 19.36)",2026-06-21 (Price: 23.41),"20.92%, 1.9 month","94.44%, Past 10 years, 18","Weekly, is CONFIRMED on 2026-04-24",Already confirmed,"2026-06-22 (Price: 22.16), 14.46% above",1.9 month,"2, 2025-11-02 (Price: 22.5)",2026-04-19 (Price: 14.74),2026-04-21 (Price: 16.2),64/62/57 days,50.34% above/36.79% above/14.46% above,2025-11-02 (Price: 22.5)/2026-04-26 (Price: 13.0),50.49%/7.64%/21.11%,-54.69%/-54.69%/-54.69%,"54.69%, 65.88%",8.4 months/28 days/2.4 months,1.8 year/28 days/3.5 months,2027-04-26/2026-06-05/2026-08-08,14.97%,13.54%,1.43%,0.71,0.62,22.8738/23.4469/21.24/No Horizontal Resistance/23.8631/28.656/No EMA 200 Target,10.91/4.205/18.3494/16.3581/No F-Track Level/No F-Track Level/14.06,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),15.24
"^NZ50, Long, 2026-04-08 (Price: 13253.9404)",2026-06-18 (Price: 13363.3096),"0.83%, 2.4 months","81.82%, Past 4 years, 11","Daily, is CONFIRMED on 2026-04-08",Already confirmed,"2026-06-22 (Price: 13446.0498), 1.45% above",2.5 months,"2, 2026-02-27 (Price: 13722.9697)",2026-04-07 (Price: 13069.6602),2026-04-08 (Price: 13253.9404),76/75/75 days,2.88% above/1.45% above/1.45% above,2026-02-27 (Price: 13722.9697)/2026-04-08 (Price: 13009.9938),2.56%/0.34%/1.32%,-1.04%/-9.56%/-5.3%,"9.56%, 19.48%",2.4 months/7 days/28 days,8 months/7 days/2 months,2026-07-21/2026-04-18/2026-05-18,2.82%,2.24%,0.58%,-0.11,-0.05,13467.3288/13428.8924/13535.36/13741.665/14773.8816/17170.3822/No EMA 200 Target,12701.75/10608.2731/12904.4271/10062.5272/No F-Track Level/No F-Track Level/13231.93,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),13069.6602
"XIU.TO, Long, 2026-03-01 (Price: 49.71)",2026-06-14 (Price: 51.75),"4.1%, 3.5 months","100.0%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-06-22 (Price: 51.84), 4.28% above",3.8 months,"4, 2016-03-20 (Price: 20.16)",2026-02-22 (Price: 49.57),2026-02-27 (Price: 49.71),120/115/113 days,4.58% above/4.28% above/4.28% above,2016-03-20 (Price: 20.16)/2026-03-01 (Price: 48.8542),4.78%/1.1%/3.1%,N/A,"0%, 32.4%",1.1 year/28 days/3.9 months,1.1 year/28 days/3.9 months,2027-09-25/2026-04-10/2026-08-17,4.9%,4.74%,0.16%,1.7,0.24,50.6793/51.251/67.44/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,35.35/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/44.14,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),49.56
"BBD-B.TO, Long, 2026-03-01 (Price: 281.89)",2026-06-21 (Price: 314.87),"11.7%, 3.7 months","78.26%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-06-22 (Price: 315.05), 11.76% above",3.8 months,"4, 2016-03-27 (Price: 35.75)",2026-03-01 (Price: 281.89),2026-02-27 (Price: 281.89),113/115/113 days,11.76% above/11.76% above/11.76% above,2016-03-27 (Price: 35.75)/2026-03-01 (Price: 278.4989),61.81%/8.33%/25.32%,-51.46%/-88.11%/-70.45%,"88.11%, 94.82%",1.3 year/1.2 month/4 months,2.7 years/1.2 month/8.6 months,2028-01-07/2026-04-22/2026-08-21,3.07%,2.81%,0.26%,0.04,0.31,322.313/353.2645/429.57/No Horizontal Resistance/675.785/850.042/No EMA 200 Target,155.01/53.275/273.2675/206.014/No F-Track Level/No F-Track Level/186.81,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),274.68
"EIF.TO, Long, 2026-03-01 (Price: 108.68)",2026-06-21 (Price: 133.62),"22.95%, 3.7 months","100.0%, Past 10 years, 31","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-06-22 (Price: 132.25), 21.69% above",3.8 months,"2, 2016-02-28 (Price: 26.62)",2026-03-01 (Price: 108.68),2026-02-26 (Price: 109.23),113/116/113 days,21.69% above/21.07% above/21.69% above,2016-02-28 (Price: 26.62)/2026-03-01 (Price: 98.8018),22.95%/2.68%/6.81%,N/A,"-0.0%, 42.92%",1.7 year/1.2 month/3.9 months,1.7 year/0 days/3.8 months,2028-08-03/2026-04-22/2026-08-17,7.94%,8.9%,-0.96%,1.38,0.46,116.4398/116.0811/157.92/No Horizontal Resistance/No Target/131.8678/No EMA 200 Target,47.67/38.216/88.2789/64.959/No F-Track Level/No F-Track Level/75.7,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),101.48
"DOL.TO, Long, 2026-02-24 (Price: 196.37)",2026-06-18 (Price: 187.85),"-4.34%, 3.8 months","96.77%, Past 4 years, 31","Daily, is CONFIRMED on 2026-02-24",Already confirmed,"2026-06-22 (Price: 184.85), 5.87% below",3.9 months,"2, 2025-12-11 (Price: 209.96)",2026-02-23 (Price: 195.69),2026-02-24 (Price: 196.37),119/118/118 days,5.54% below/5.87% below/5.87% below,2025-12-11 (Price: 209.96)/2026-02-24 (Price: 192.3528),10.12%/0.29%/2.98%,-4.34%/-4.34%/-4.34%,"4.34%, 17.53%",4 months/6 days/1.3 month,4 months/6 days/1.4 month,2026-08-16/2026-03-04/2026-04-21,18.22%,17.72%,0.5%,0.78,1.15,202.9877/202.2218/204.52/197.56/294.0831/455.769/No EMA 200 Target,183.5/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/189.15,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),195.43
"CNR.TO, Long, 2026-02-22 (Price: 151.19)",2026-06-14 (Price: 166.47),"10.11%, 3.7 months","96.15%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-06-22 (Price: 161.59), 6.88% above",4 months,"2, 2016-03-20 (Price: 82.04)",2026-02-15 (Price: 146.42),2026-02-22 (Price: 151.19),127/120/120 days,10.36% above/6.88% above/6.88% above,2016-03-20 (Price: 82.04)/2026-02-22 (Price: 142.0066),10.37%/1.53%/6.21%,-2.41%/-2.41%/-2.41%,"2.41%, 28.98%",1.3 year/28 days/4.6 months,1.3 year/28 days/4.8 months,2027-12-31/2026-04-03/2026-09-09,6.53%,6.85%,-0.32%,1.32,0.39,160.6091/160.5789/192.68/167.5729/218.156/349.4971/No EMA 200 Target,130.99/127.536/136.9828/86.815/No F-Track Level/No F-Track Level/136.36,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),146.74
"MAR, Long, 2026-02-15 (Price: 353.89)",2026-06-21 (Price: 396.2),"11.96%, 4.2 months","82.14%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-06-22 (Price: 384.19), 8.56% above",4.2 months,"4, 2016-03-20 (Price: 73.89)",2026-02-01 (Price: 315.3),2026-02-10 (Price: 359.35),141/132/127 days,21.85% above/6.91% above/8.56% above,2016-03-20 (Price: 73.89)/2026-02-15 (Price: 313.7038),16.53%/2.51%/7.88%,-9.23%/-12.52%/-10.55%,"12.52%, 61.32%",6.8 months/28 days/2.9 months,1.1 year/0 days/4.5 months,2026-12-07/2026-03-27/2026-06-21,11.78%,12.03%,-0.25%,0.3,0.61,406.655/381.7765/521.89/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/281.31,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),331.25
"GNE.NZ, Long, 2026-02-15 (Price: 2.47)",2026-06-22 (Price: 2.59),"4.86%, 4.2 months","88.89%, Past 10 years, 18","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-06-22 (Price: 2.59), 4.86% above",4.2 months,"2, 2025-10-19 (Price: 2.56)",2026-02-08 (Price: 2.46),2026-02-13 (Price: 2.47),134/129/127 days,5.28% above/4.86% above/4.86% above,2025-10-19 (Price: 2.56)/2026-02-15 (Price: 2.4173),8.45%/0.78%/4.81%,-9.06%/-22.37%/-15.71%,"22.37%, 34.69%",1.2 year/28 days/3.5 months,1.7 year/0 days/4.7 months,2027-11-02/2026-03-27/2026-07-17,3.48%,2.59%,0.89%,0.1,0.08,2.6377/2.5888/2.52/3.575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,2.36/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/2.38,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),2.46
"PPH, Long, 2026-02-13 (Price: 111.19)",2026-06-17 (Price: 104.24),"-6.25%, 4.1 months","90.48%, Past 4 years, 21","Daily, is CONFIRMED on 2026-02-13",Already confirmed,"2026-06-22 (Price: 103.47), 6.94% below",4.3 months,"4, 2020-01-21 (Price: 67.0)",2026-02-12 (Price: 110.3),2026-02-13 (Price: 111.19),130/129/129 days,6.19% below/6.94% below/6.94% below,2020-01-21 (Price: 67.0)/2026-02-13 (Price: 109.8304),5.58%/0.68%/2.8%,-6.25%/-8.41%/-7.33%,"8.41%, 20.52%",2.4 months/6 days/1.1 month,8.5 months/6 days/1.6 month,2026-05-28/2026-02-21/2026-04-01,6.32%,5.81%,0.51%,0.35,0.34,113.8252/114.3033/137.7/No Horizontal Resistance/No Target/120.2747/No EMA 200 Target,104.54/71.642/100.0174/96.0365/No F-Track Level/No F-Track Level/93.58,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),110.79
"005930.KS, Long, 2026-01-31 (Price: 160500.0)",2026-06-22 (Price: 353500.0),"120.25%, 4.7 months","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-06-22 (Price: 353500.0), 120.25% above",4.7 months,"6, 2002-04-30 (Price: 8640.0)",2025-12-31 (Price: 119900.0),2026-01-28 (Price: 162400.0),173/145/142 days,194.83% above/117.67% above/120.25% above,2002-04-30 (Price: 8640.0)/2026-01-31 (Price: 113523.0769),120.56%/2.02%/52.23%,-10.12%/-23.65%/-16.89%,"23.65%, 39.14%",2.3 years/4.7 months/9.8 months,3 years/4.7 months/1.1 year,2029-05-12/2026-08-23/2027-04-01,12.89%,13.48%,-0.59%,0.75,0.66,215021.85/244329.15/251616.0/No Horizontal Resistance/No Target/177417.2/No EMA 200 Target,52400.0/50833.3333/113095.2/103367.0/No F-Track Level/No F-Track Level/84101.75,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),120200.0
"GS, Long, 2026-01-18 (Price: 962.0)",2026-06-21 (Price: 1096.5601),"13.99%, 5.1 months","100.0%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-06-22 (Price: 1106.37), 15.01% above",5.2 months,"2, 2016-04-24 (Price: 168.9)",2026-01-18 (Price: 962.0),2026-01-15 (Price: 975.86),155/158/155 days,15.01% above/13.37% above/15.01% above,2016-04-24 (Price: 168.9)/2026-01-18 (Price: 938.1843),16.64%/3.13%/7.2%,N/A,"-0.0%, 44.52%",1.5 year/1.2 month/3.9 months,1.5 year/0 days/3.7 months,2028-03-10/2026-03-11/2026-07-06,8.3%,10.2%,-1.9%,1.25,0.53,No Target/1031.264/1437.86/No Horizontal Resistance/No Target/1236.8362/No EMA 200 Target,470.81/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/727.07,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),934.0
"MSE.PA, Long, 2026-01-18 (Price: 67.23)",2026-06-21 (Price: 71.55),"6.43%, 5.1 months","100.0%, Past 10 years, 22","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-06-22 (Price: 71.75), 6.72% above",5.2 months,"2, 2016-03-13 (Price: 30.865)",2026-01-18 (Price: 67.23),2026-01-18 (Price: 67.23),155/155/155 days,6.72% above/6.72% above/6.72% above,2016-03-13 (Price: 30.865)/2026-01-18 (Price: 66.601),10.47%/2.5%/5.75%,N/A,"0%, 33.38%",1.4 year/1.2 month/4.4 months,1.4 year/1.2 month/4.4 months,2028-01-16/2026-03-11/2026-07-28,8.07%,4.18%,3.89%,1.84,0.18,71.1293/71.0957/89.05/No Horizontal Resistance/81.1364/117.7989/No EMA 200 Target,61.34/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level/60.53,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),66.84
"MAR, Long, 2025-12-31 (Price: 310.24)",2026-05-31 (Price: 375.6),"21.07%, 5 months","100.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-06-22 (Price: 384.19), 23.84% above",5.8 months,"2, 2025-02-28 (Price: 307.52)",2025-11-30 (Price: 304.79),2025-12-31 (Price: 310.24),204/173/173 days,26.05% above/23.84% above/23.84% above,2025-02-28 (Price: 307.52)/2025-12-31 (Price: 259.98),30.2%/3.49%/16.93%,N/A,"0%, 34.42%",1.6 year/5 months/9.2 months,1.6 year/5 months/9.2 months,2028-04-13/2026-08-05/2027-02-03,9.1%,8.41%,0.69%,1.35,0.43,381.6262/362.7636/311.87/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,136.01/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/267.22,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),302.43
"NA.TO, Long, 2025-11-30 (Price: 168.95)",2026-06-22 (Price: 223.1),"32.05%, 6.8 months","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2026-06-22 (Price: 223.1), 32.05% above",6.8 months,"0, 2002-04-30 (Price: 17.575)",2025-10-31 (Price: 156.7),2025-11-28 (Price: 168.95),234/206/204 days,42.37% above/32.05% above/32.05% above,2002-04-30 (Price: 17.575)/2025-11-30 (Price: 151.5703),31.21%/8.86%/20.0%,-5.23%/-5.23%/-5.23%,"5.23%, 30.62%",1.5 year/5.1 months/9.2 months,1.5 year/5.1 months/10.4 months,2028-01-21/2026-07-09/2027-01-03,8.6%,7.92%,0.68%,1.07,0.47,189.6126/202.74/259.77/No Horizontal Resistance/188.6608/207.1743/No EMA 200 Target,118.77/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/138.03,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),157.19
"AEM.TO, Long, 2025-09-30 (Price: 234.4)",2026-05-31 (Price: 253.48),"8.14%, 8.1 months","94.12%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-06-22 (Price: 236.28), 0.8% above",8.8 months,"2, 2001-05-31 (Price: 14.4)",2025-09-30 (Price: 234.4),2025-09-25 (Price: 223.0),265/270/265 days,0.8% above/5.96% above/0.8% above,2001-05-31 (Price: 14.4)/2025-09-30 (Price: 200.3445),119.13%/8.14%/49.17%,-19.32%/-19.32%/-19.32%,"19.32%, 59.99%",2 years/5.1 months/11.5 months,2 years/5.1 months/11.9 months,2028-08-07/2026-05-09/2027-02-11,12.22%,8.38%,3.84%,1.46,0.43,270.1226/349.6545/366.4/No Horizontal Resistance/No Target/No Target/No EMA 200 Target,61.72/60.0025/193.9088/163.0279/No F-Track Level/No F-Track Level/159.65,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),200.18
"IMO.TO, Long, 2025-09-30 (Price: 126.19)",2026-05-31 (Price: 163.57),"29.62%, 8.1 months","100.0%, Past 20 years, 22","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-06-22 (Price: 161.61), 28.07% above",8.8 months,"0, 2001-09-30 (Price: 15.5)",2025-09-30 (Price: 126.19),2025-09-10 (Price: 126.79),265/285/265 days,28.07% above/27.46% above/28.07% above,2001-09-30 (Price: 15.5)/2025-09-30 (Price: 122.7883),54.37%/11.5%/31.55%,N/A,"-0.0%, 64.29%",4 years/5.1 months/1.1 year,4 years/0 days/11.5 months,2031-06-16/2026-05-09/2027-04-26,9.31%,7.25%,2.06%,1.54,0.38,164.6906/166.0029/192.6/No Horizontal Resistance/129.8192/200.2184/No EMA 200 Target,88.59/60.8067/86.3092/No stop loss/No F-Track Level/No F-Track Level/104.72,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),124.35
"2807.HK, Long, 2025-09-21 (Price: 64.54)",2026-06-21 (Price: 66.2),"2.57%, 9.1 months","100.0%, Past 10 years, 8","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2026-06-22 (Price: 65.0), 0.71% above",9.1 months,"6, 2021-02-21 (Price: 76.6)",2025-09-07 (Price: 55.62),2025-09-18 (Price: 64.16),288/277/274 days,16.86% above/1.31% above/0.71% above,2021-02-21 (Price: 76.6)/2025-09-21 (Price: 55.535),26.01%/2.57%/11.5%,N/A,"0%, 37.63%",1 year/1.6 month/6.6 months,1 year/1.6 month/6.6 months,2027-02-24/2025-11-29/2026-07-04,16.34%,1.87%,14.47%,1.03,0.1,65.6049/71.9621/71.78/69.42/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,44.38/35.45/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/49.51,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),59.8
"IMO.TO, Long, 2025-08-31 (Price: 124.62)",2026-05-31 (Price: 163.57),"31.26%, 9.1 months","100.0%, Past 20 years, 22","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-06-22 (Price: 161.61), 29.68% above",9.8 months,"2, 2024-10-31 (Price: 108.89)",2025-06-30 (Price: 108.18),2025-08-20 (Price: 115.69),357/306/295 days,49.39% above/39.69% above/29.68% above,2024-10-31 (Price: 108.89)/2025-08-31 (Price: 102.61),54.37%/11.5%/31.55%,N/A,"-0.0%, 64.29%",4 years/5.1 months/1.1 year,4 years/0 days/11.5 months,2031-05-17/2026-04-09/2027-03-27,9.31%,7.25%,2.06%,1.54,0.38,162.6416/163.9376/134.06/No Horizontal Resistance/129.8192/200.2184/No EMA 200 Target,88.59/60.8067/86.3092/No stop loss/No F-Track Level/No F-Track Level/102.35,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),114.68
"IMO.TO, Long, 2025-07-31 (Price: 115.53)",2026-05-31 (Price: 163.57),"41.58%, 10.1 months","100.0%, Past 20 years, 22","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-06-22 (Price: 161.61), 39.89% above",10.9 months,"2, 2024-10-31 (Price: 108.89)",2025-06-30 (Price: 108.18),2025-07-30 (Price: 116.68),357/327/326 days,49.39% above/38.51% above/39.89% above,2024-10-31 (Price: 108.89)/2025-07-31 (Price: 103.238),54.37%/11.5%/31.55%,N/A,"-0.0%, 64.29%",4 years/5.1 months/1.1 year,4 years/0 days/11.5 months,2031-04-16/2026-03-09/2027-02-24,9.31%,7.25%,2.06%,1.54,0.38,150.7782/151.9797/119.51/No Horizontal Resistance/125.7351/130.9032/No EMA 200 Target,88.59/60.8067/95.1616/91.2096/No F-Track Level/No F-Track Level/100.87,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),110.11
"IHI, Long, 2025-02-28 (Price: 63.77)",2026-05-31 (Price: 48.96),"-23.22%, 1.3 year","71.43%, Past 20 years, 7","Monthly, is CONFIRMED on 2025-02-28",Already confirmed,"2026-06-22 (Price: 48.34), 24.2% below",1.3 year,"2, 2022-08-31 (Price: 55.73)",2025-01-31 (Price: 63.81),2025-02-28 (Price: 63.77),507/479/479 days,24.24% below/24.2% below/24.2% below,2022-08-31 (Price: 55.73)/2025-02-28 (Price: 61.2236),16.7%/2.84%/13.93%,-23.22%/-23.22%/-23.22%,"23.22%, 23.93%",7.1 months/5.1 months/6.7 months,1.3 year/5.1 months/9.1 months,2026-01-02/2025-10-07/2025-12-16,3.78%,6.56%,-2.78%,0.03,0.38,72.1813/72.6532/68.59/66.92/68.9264/76.3906/No EMA 200 Target,45.26/46.8983/56.0899/46.1919/No F-Track Level/No F-Track Level/58.82,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),63.37
"FBU.NZ, Long, 2025-02-28 (Price: 3.39)",2026-05-31 (Price: 3.14),"-7.37%, 1.3 year","80.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2025-02-28",Already confirmed,"2026-06-22 (Price: 3.34), 1.47% below",1.3 year,"2, 2023-08-31 (Price: 5.64)",2024-12-31 (Price: 2.85),2025-02-27 (Price: 3.27),538/480/479 days,17.19% above/2.14% above/1.47% below,2023-08-31 (Price: 5.64)/2025-02-28 (Price: 2.5338),26.1%/3.25%/14.68%,-7.37%/-37.82%/-22.6%,"37.82%, 49.28%",1.3 year/5 months/10.1 months,2.3 years/0 days/8.3 months,2027-01-06/2025-10-03/2026-05-12,4.17%,0.95%,3.22%,-0.05,0.02,3.8192/3.8877/4.74/7.985/12.7156/14.3053/No EMA 200 Target,2.83/3.3133/3.1474/No stop loss/No F-Track Level/No F-Track Level/3.02,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),2.85
"XLY, Long, 2024-12-31 (Price: 112.175)",2026-05-31 (Price: 120.87),"7.75%, 1.4 year","93.75%, Past 20 years, 16","Monthly, is CONFIRMED on 2024-12-31",Already confirmed,"2026-06-22 (Price: 114.94), 2.46% above",1.5 year,"2, 2000-04-30 (Price: 15.9688)",2024-11-30 (Price: 111.15),2024-12-31 (Price: 112.175),569/538/538 days,3.41% above/2.46% above/2.46% above,2000-04-30 (Price: 15.9688)/2024-12-31 (Price: 102.765),32.13%/5.99%/17.93%,-17.44%/-17.44%/-17.44%,"17.44%, 51.92%",1.5 year/5.1 months/11.1 months,2 years/5.1 months/11.9 months,2027-02-21/2025-08-09/2026-04-27,4.58%,6.15%,-1.57%,1.04,0.34,132.961/132.288/169.9/No Horizontal Resistance/125.4815/133.9156/No EMA 200 Target,64.58/67.241/86.1124/56.5683/No F-Track Level/No F-Track Level/96.23,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),111.935
"RINF, Long, 2024-10-13 (Price: 33.01)",2026-06-21 (Price: 32.5),"-1.54%, 1.7 year","80.0%, Past 10 years, 10","Weekly, is CONFIRMED on 2024-10-11",Already confirmed,"2026-06-22 (Price: 32.4429), 1.72% below",1.7 year,"4, 2023-10-22 (Price: 35.37)",2024-10-06 (Price: 32.56),2024-10-09 (Price: 32.91),624/621/617 days,0.36% below/1.42% below/1.72% below,2023-10-22 (Price: 35.37)/2024-10-13 (Price: 32.2172),4.91%/1.48%/3.43%,-1.54%/-20.02%/-10.78%,"20.02%, 29.23%",10.7 months/1.2 month/5.6 months,2.7 years/0 days/9.2 months,2026-01-20/2024-12-04/2025-06-13,-0.19%,-0.95%,0.76%,-0.24,-0.45,33.5118/34.1422/34.43/35.755/41.8158/48.2716/No EMA 200 Target,31.41/26.825/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/32.53,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),32.68
