"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),Backtested Returns (Lose Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Holding Period (All Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"DOL.TO, Long, 2026-02-24 (Price: 196.37)",2026-06-18 (Price: 187.85),"-4.34%, 3.8 months","96.77%, Past 4 years, 31","Daily, is CONFIRMED on 2026-02-24",Already confirmed,"2026-06-23 (Price: 186.19), 5.18% below",4 months,"2, 2025-12-11 (Price: 209.96)",2026-02-23 (Price: 195.69),2026-02-24 (Price: 196.37),120/119/119 days,4.85% below/5.18% below/5.18% below,2025-12-11 (Price: 209.96)/2026-02-24 (Price: 192.3528),10.12%/0.29%/2.98%,-4.34%/-4.34%/-4.34%,"4.34%, 17.53%",4 months/6 days/1.3 month,4 months/6 days/1.4 month,2026-08-16/2026-03-04/2026-04-21,18.22%,17.72%,0.5%,0.78,1.15,202.9877/202.2218/204.52/197.56/294.0831/455.769/No EMA 200 Target,183.5/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/189.15,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),195.43
"AIA.NZ, Long, 2026-02-23 (Price: 8.95)",2026-06-23 (Price: 8.36),"-6.59%, 4 months","91.67%, Past 4 years, 36","Daily, is CONFIRMED on 2026-02-23",Already confirmed,"2026-06-23 (Price: 8.36), 6.59% below",4 months,"2, 2024-10-09 (Price: 7.5)",2026-02-20 (Price: 8.88),2026-02-23 (Price: 8.95),123/120/120 days,5.86% below/6.59% below/6.59% below,2024-10-09 (Price: 7.5)/2026-02-23 (Price: 8.7059),7.1%/0.39%/3.52%,-3.83%/-6.37%/-5.35%,"6.37%, 18.81%",4.7 months/7 days/1.1 month,11.9 months/0 days/1.6 month,2026-09-15/2026-03-05/2026-04-11,10.06%,3.03%,7.03%,0.58,0.11,9.3313/9.265/9.82/No Horizontal Resistance/11.1706/12.8535/No EMA 200 Target,8.13/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/7.94,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),8.85
"CNR.TO, Long, 2026-02-22 (Price: 151.19)",2026-06-14 (Price: 166.47),"10.11%, 3.7 months","96.15%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-06-23 (Price: 163.27), 7.99% above",4 months,"2, 2016-03-20 (Price: 82.04)",2026-02-15 (Price: 146.42),2026-02-22 (Price: 151.19),128/121/121 days,11.51% above/7.99% above/7.99% above,2016-03-20 (Price: 82.04)/2026-02-22 (Price: 142.0066),10.37%/1.53%/6.21%,-2.41%/-2.41%/-2.41%,"2.41%, 28.98%",1.3 year/28 days/4.6 months,1.3 year/28 days/4.8 months,2027-12-31/2026-04-03/2026-09-09,6.53%,6.85%,-0.32%,1.32,0.39,160.6091/160.5789/192.68/167.5729/218.156/349.4971/No EMA 200 Target,130.99/127.536/136.9828/86.815/No F-Track Level/No F-Track Level/136.36,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),146.74
"MAR, Long, 2026-02-15 (Price: 353.89)",2026-06-21 (Price: 396.2),"11.96%, 4.2 months","82.14%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-06-23 (Price: 386.83), 9.31% above",4.3 months,"4, 2016-03-20 (Price: 73.89)",2026-02-01 (Price: 315.3),2026-02-10 (Price: 359.35),142/133/128 days,22.69% above/7.65% above/9.31% above,2016-03-20 (Price: 73.89)/2026-02-15 (Price: 313.7038),16.53%/2.51%/7.88%,-9.23%/-12.52%/-10.55%,"12.52%, 61.32%",6.8 months/28 days/2.9 months,1.1 year/0 days/4.5 months,2026-12-07/2026-03-27/2026-06-21,11.78%,12.03%,-0.25%,0.3,0.61,406.655/381.7765/521.89/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/281.31,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),331.25
"GNE.NZ, Long, 2026-02-15 (Price: 2.47)",2026-06-23 (Price: 2.6),"5.26%, 4.3 months","88.89%, Past 10 years, 18","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-06-23 (Price: 2.6), 5.26% above",4.3 months,"2, 2025-10-19 (Price: 2.56)",2026-02-08 (Price: 2.46),2026-02-13 (Price: 2.47),135/130/128 days,5.69% above/5.26% above/5.26% above,2025-10-19 (Price: 2.56)/2026-02-15 (Price: 2.4173),8.45%/0.78%/4.81%,-9.06%/-22.37%/-15.71%,"22.37%, 34.69%",1.2 year/28 days/3.5 months,1.7 year/0 days/4.7 months,2027-11-02/2026-03-27/2026-07-17,3.48%,2.59%,0.89%,0.1,0.08,2.6377/2.5888/2.52/3.575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,2.36/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/2.38,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),2.46
"005930.KS, Long, 2026-01-31 (Price: 160500.0)",2026-06-23 (Price: 310000.0),"93.15%, 4.8 months","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-06-23 (Price: 310000.0), 93.15% above",4.8 months,"6, 2002-04-30 (Price: 8640.0)",2025-12-31 (Price: 119900.0),2026-01-28 (Price: 162400.0),174/146/143 days,158.55% above/90.89% above/93.15% above,2002-04-30 (Price: 8640.0)/2026-01-31 (Price: 113523.0769),120.56%/2.02%/52.23%,-10.12%/-23.65%/-16.89%,"23.65%, 39.14%",2.3 years/4.7 months/9.8 months,3 years/4.7 months/1.1 year,2029-05-12/2026-08-23/2027-04-01,12.89%,13.48%,-0.59%,0.75,0.66,215021.85/244329.15/251616.0/No Horizontal Resistance/No Target/177417.2/No EMA 200 Target,52400.0/50833.3333/113095.2/103367.0/No F-Track Level/No F-Track Level/84101.75,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),120200.0
"GS, Long, 2026-01-18 (Price: 962.0)",2026-06-21 (Price: 1096.5601),"13.99%, 5.1 months","100.0%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-06-23 (Price: 1094.4399), 13.77% above",5.2 months,"2, 2016-04-24 (Price: 168.9)",2026-01-18 (Price: 962.0),2026-01-15 (Price: 975.86),156/159/156 days,13.77% above/12.15% above/13.77% above,2016-04-24 (Price: 168.9)/2026-01-18 (Price: 938.1843),16.64%/3.13%/7.2%,N/A,"-0.0%, 44.52%",1.5 year/1.2 month/3.9 months,1.5 year/0 days/3.7 months,2028-03-10/2026-03-11/2026-07-06,8.3%,10.2%,-1.9%,1.25,0.53,No Target/1031.264/1437.86/No Horizontal Resistance/No Target/1236.8362/No EMA 200 Target,470.81/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/727.07,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),934.0
"MSE.PA, Long, 2026-01-18 (Price: 67.23)",2026-06-21 (Price: 71.55),"6.43%, 5.1 months","100.0%, Past 10 years, 22","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-06-23 (Price: 70.82), 5.34% above",5.2 months,"2, 2016-03-13 (Price: 30.865)",2026-01-18 (Price: 67.23),2026-01-18 (Price: 67.23),156/156/156 days,5.34% above/5.34% above/5.34% above,2016-03-13 (Price: 30.865)/2026-01-18 (Price: 66.601),10.47%/2.5%/5.75%,N/A,"0%, 33.38%",1.4 year/1.2 month/4.4 months,1.4 year/1.2 month/4.4 months,2028-01-16/2026-03-11/2026-07-28,8.07%,4.18%,3.89%,1.84,0.18,71.1293/71.0957/89.05/No Horizontal Resistance/81.1364/117.7989/No EMA 200 Target,61.34/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level/60.53,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),66.84
"BRK-B, Long, 2026-01-09 (Price: 499.1)",2026-06-23 (Price: 492.81),"-1.26%, 5.5 months","100.0%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-09",Already confirmed,"2026-06-23 (Price: 492.81), 1.26% below",5.5 months,"2, 2025-11-14 (Price: 516.55)",2026-01-09 (Price: 499.1),2026-01-09 (Price: 499.1),165/165/165 days,1.26% below/1.26% below/1.26% below,2025-11-14 (Price: 516.55)/2026-01-09 (Price: 496.4333),5.02%/0.7%/2.86%,N/A,"-0.0%, 7.4%",1.2 month/6 days/12 days,1.2 month/0 days/10 days,2026-03-02/2026-01-17/2026-01-26,12.87%,12.36%,0.51%,1.33,0.9,524.7038/513.3743/509.57/512.255/630.85/709.9376/No EMA 200 Target,496.12/268.082/491.88/449.7662/No F-Track Level/No F-Track Level/497.22,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),498.94
"MAR, Long, 2025-12-31 (Price: 310.24)",2026-05-31 (Price: 375.6),"21.07%, 5 months","100.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-06-23 (Price: 386.83), 24.69% above",5.8 months,"2, 2025-02-28 (Price: 307.52)",2025-11-30 (Price: 304.79),2025-12-31 (Price: 310.24),205/174/174 days,26.92% above/24.69% above/24.69% above,2025-02-28 (Price: 307.52)/2025-12-31 (Price: 259.98),30.2%/3.49%/16.93%,N/A,"0%, 34.42%",1.6 year/5 months/9.2 months,1.6 year/5 months/9.2 months,2028-04-13/2026-08-05/2027-02-03,9.1%,8.41%,0.69%,1.35,0.43,381.6262/362.7636/311.87/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,136.01/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/267.22,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),302.43
"NA.TO, Long, 2025-11-30 (Price: 168.95)",2026-06-23 (Price: 224.32),"32.77%, 6.8 months","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2026-06-23 (Price: 224.32), 32.77% above",6.8 months,"0, 2002-04-30 (Price: 17.575)",2025-10-31 (Price: 156.7),2025-11-28 (Price: 168.95),235/207/205 days,43.15% above/32.77% above/32.77% above,2002-04-30 (Price: 17.575)/2025-11-30 (Price: 151.5703),31.21%/8.86%/20.0%,-5.23%/-5.23%/-5.23%,"5.23%, 30.62%",1.5 year/5.1 months/9.2 months,1.5 year/5.1 months/10.4 months,2028-01-21/2026-07-09/2027-01-03,8.6%,7.92%,0.68%,1.07,0.47,189.6126/202.74/259.77/No Horizontal Resistance/188.6608/207.1743/No EMA 200 Target,118.77/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/138.03,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),157.19
"AEM.TO, Long, 2025-09-30 (Price: 234.4)",2026-05-31 (Price: 253.48),"8.14%, 8.1 months","94.12%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-06-23 (Price: 227.52), 2.94% below",8.9 months,"2, 2001-05-31 (Price: 14.4)",2025-09-30 (Price: 234.4),2025-09-25 (Price: 223.0),266/271/266 days,2.94% below/2.03% above/2.94% below,2001-05-31 (Price: 14.4)/2025-09-30 (Price: 200.3445),119.13%/8.14%/49.17%,-19.32%/-19.32%/-19.32%,"19.32%, 59.99%",2 years/5.1 months/11.5 months,2 years/5.1 months/11.9 months,2028-08-07/2026-05-09/2027-02-11,12.22%,8.38%,3.84%,1.46,0.43,270.1226/349.6545/366.4/No Horizontal Resistance/No Target/No Target/No EMA 200 Target,61.72/60.0025/193.9088/163.0279/No F-Track Level/No F-Track Level/159.65,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),200.18
"IMO.TO, Long, 2025-09-30 (Price: 126.19)",2026-05-31 (Price: 163.57),"29.62%, 8.1 months","100.0%, Past 20 years, 22","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-06-23 (Price: 163.04), 29.2% above",8.9 months,"0, 2001-09-30 (Price: 15.5)",2025-09-30 (Price: 126.19),2025-09-10 (Price: 126.79),266/286/266 days,29.2% above/28.59% above/29.2% above,2001-09-30 (Price: 15.5)/2025-09-30 (Price: 122.7883),54.37%/11.5%/31.55%,N/A,"-0.0%, 64.29%",4 years/5.1 months/1.1 year,4 years/0 days/11.5 months,2031-06-16/2026-05-09/2027-04-26,9.31%,7.25%,2.06%,1.54,0.38,164.6906/166.0029/192.6/No Horizontal Resistance/129.8192/200.2184/No EMA 200 Target,88.59/60.8067/86.3092/No stop loss/No F-Track Level/No F-Track Level/104.72,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),124.35
"2807.HK, Long, 2025-09-21 (Price: 64.54)",2026-06-21 (Price: 66.2),"2.57%, 9.1 months","100.0%, Past 10 years, 8","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2026-06-23 (Price: 62.98), 2.42% below",9.2 months,"6, 2021-02-21 (Price: 76.6)",2025-09-07 (Price: 55.62),2025-09-18 (Price: 64.16),289/278/275 days,13.23% above/1.84% below/2.42% below,2021-02-21 (Price: 76.6)/2025-09-21 (Price: 55.535),26.01%/2.57%/11.5%,N/A,"0%, 37.63%",1 year/1.6 month/6.6 months,1 year/1.6 month/6.6 months,2027-02-24/2025-11-29/2026-07-04,16.34%,1.87%,14.47%,1.03,0.1,65.6049/71.9621/71.78/69.42/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,44.38/35.45/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/49.51,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),59.8
"IMO.TO, Long, 2025-08-31 (Price: 124.62)",2026-05-31 (Price: 163.57),"31.26%, 9.1 months","100.0%, Past 20 years, 22","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-06-23 (Price: 163.04), 30.83% above",9.9 months,"2, 2024-10-31 (Price: 108.89)",2025-06-30 (Price: 108.18),2025-08-20 (Price: 115.69),358/307/296 days,50.71% above/40.93% above/30.83% above,2024-10-31 (Price: 108.89)/2025-08-31 (Price: 102.61),54.37%/11.5%/31.55%,N/A,"-0.0%, 64.29%",4 years/5.1 months/1.1 year,4 years/0 days/11.5 months,2031-05-17/2026-04-09/2027-03-27,9.31%,7.25%,2.06%,1.54,0.38,162.6416/163.9376/134.06/No Horizontal Resistance/129.8192/200.2184/No EMA 200 Target,88.59/60.8067/86.3092/No stop loss/No F-Track Level/No F-Track Level/102.35,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),114.68
"IMO.TO, Long, 2025-07-31 (Price: 115.53)",2026-05-31 (Price: 163.57),"41.58%, 10.1 months","100.0%, Past 20 years, 22","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-06-23 (Price: 163.04), 41.12% above",10.9 months,"2, 2024-10-31 (Price: 108.89)",2025-06-30 (Price: 108.18),2025-07-30 (Price: 116.68),358/328/327 days,50.71% above/39.73% above/41.12% above,2024-10-31 (Price: 108.89)/2025-07-31 (Price: 103.238),54.37%/11.5%/31.55%,N/A,"-0.0%, 64.29%",4 years/5.1 months/1.1 year,4 years/0 days/11.5 months,2031-04-16/2026-03-09/2027-02-24,9.31%,7.25%,2.06%,1.54,0.38,150.7782/151.9797/119.51/No Horizontal Resistance/125.7351/130.9032/No EMA 200 Target,88.59/60.8067/95.1616/91.2096/No F-Track Level/No F-Track Level/100.87,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),110.11
"IHI, Long, 2025-02-28 (Price: 63.77)",2026-05-31 (Price: 48.96),"-23.22%, 1.3 year","71.43%, Past 20 years, 7","Monthly, is CONFIRMED on 2025-02-28",Already confirmed,"2026-06-23 (Price: 49.12), 22.97% below",1.3 year,"2, 2022-08-31 (Price: 55.73)",2025-01-31 (Price: 63.81),2025-02-28 (Price: 63.77),508/480/480 days,23.02% below/22.97% below/22.97% below,2022-08-31 (Price: 55.73)/2025-02-28 (Price: 61.2236),16.7%/2.84%/13.93%,-23.22%/-23.22%/-23.22%,"23.22%, 23.93%",7.1 months/5.1 months/6.7 months,1.3 year/5.1 months/9.1 months,2026-01-02/2025-10-07/2025-12-16,3.78%,6.56%,-2.78%,0.03,0.38,72.1813/72.6532/68.59/66.92/68.9264/76.3906/No EMA 200 Target,45.26/46.8983/56.0899/46.1919/No F-Track Level/No F-Track Level/58.82,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),63.37
"FBU.NZ, Long, 2025-02-28 (Price: 3.39)",2026-05-31 (Price: 3.14),"-7.37%, 1.3 year","80.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2025-02-28",Already confirmed,"2026-06-23 (Price: 3.34), 1.47% below",1.3 year,"2, 2023-08-31 (Price: 5.64)",2024-12-31 (Price: 2.85),2025-02-27 (Price: 3.27),539/481/480 days,17.19% above/2.14% above/1.47% below,2023-08-31 (Price: 5.64)/2025-02-28 (Price: 2.5338),26.1%/3.25%/14.68%,-7.37%/-37.82%/-22.6%,"37.82%, 49.28%",1.3 year/5 months/10.1 months,2.3 years/0 days/8.3 months,2027-01-06/2025-10-03/2026-05-12,4.17%,0.95%,3.22%,-0.05,0.02,3.8192/3.8877/4.74/7.985/12.7156/14.3053/No EMA 200 Target,2.83/3.3133/3.1474/No stop loss/No F-Track Level/No F-Track Level/3.02,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),2.85
"XLY, Long, 2024-12-31 (Price: 112.175)",2026-05-31 (Price: 120.87),"7.75%, 1.4 year","93.75%, Past 20 years, 16","Monthly, is CONFIRMED on 2024-12-31",Already confirmed,"2026-06-23 (Price: 113.76), 1.41% above",1.5 year,"2, 2000-04-30 (Price: 15.9688)",2024-11-30 (Price: 111.15),2024-12-31 (Price: 112.175),570/539/539 days,2.35% above/1.41% above/1.41% above,2000-04-30 (Price: 15.9688)/2024-12-31 (Price: 102.765),32.13%/5.99%/17.93%,-17.44%/-17.44%/-17.44%,"17.44%, 51.92%",1.5 year/5.1 months/11.1 months,2 years/5.1 months/11.9 months,2027-02-21/2025-08-09/2026-04-27,4.58%,6.15%,-1.57%,1.04,0.34,132.961/132.288/169.9/No Horizontal Resistance/125.4815/133.9156/No EMA 200 Target,64.58/67.241/86.1124/56.5683/No F-Track Level/No F-Track Level/96.23,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),111.935
"RINF, Long, 2024-10-13 (Price: 33.01)",2026-06-21 (Price: 32.5),"-1.54%, 1.7 year","80.0%, Past 10 years, 10","Weekly, is CONFIRMED on 2024-10-11",Already confirmed,"2026-06-23 (Price: 32.3694), 1.94% below",1.7 year,"4, 2023-10-22 (Price: 35.37)",2024-10-06 (Price: 32.56),2024-10-09 (Price: 32.91),625/622/618 days,0.59% below/1.64% below/1.94% below,2023-10-22 (Price: 35.37)/2024-10-13 (Price: 32.2172),4.91%/1.48%/3.43%,-1.54%/-20.02%/-10.78%,"20.02%, 29.23%",10.7 months/1.2 month/5.6 months,2.7 years/0 days/9.2 months,2026-01-20/2024-12-04/2025-06-13,-0.19%,-0.95%,0.76%,-0.24,-0.45,33.5118/34.1422/34.43/35.755/41.8158/48.2716/No EMA 200 Target,31.41/26.825/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/32.53,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),32.68
"ENZL, Long, 2024-09-30 (Price: 49.42)",2026-06-23 (Price: 44.1747),"-10.61%, 1.8 year","83.33%, Past 20 years, 6","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2026-06-23 (Price: 44.1747), 10.61% below",1.8 year,"2, 2023-02-28 (Price: 53.35)",2024-08-31 (Price: 49.25),2024-09-26 (Price: 49.69),661/635/631 days,10.31% below/11.1% below/10.61% below,2023-02-28 (Price: 53.35)/2024-09-30 (Price: 44.8266),18.88%/18.88%/18.88%,-9.19%/-9.19%/-9.19%,"9.19%, 22.82%",1 year/1 year/1 year,1.7 year/0 days/7.5 months,2026-03-05 (Max),4.03%,1.48%,2.55%,0.22,-0.04,No Target/58.7505/51.78/65.1933/79.7363/84.688/No EMA 200 Target,41.64/43.9425/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/46.44,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),49.2
"XLV, Long, 2024-08-31 (Price: 157.2)",2026-05-31 (Price: 149.47),"-4.92%, 1.8 year","80.95%, Past 20 years, 21","Monthly, is CONFIRMED on 2024-08-31",Already confirmed,"2026-06-23 (Price: 152.18), 3.19% below",1.8 year,"0, 2021-12-31 (Price: 141.98)",2024-08-31 (Price: 157.2),2024-08-30 (Price: 157.2),661/662/661 days,3.19% below/3.19% below/3.19% below,2021-12-31 (Price: 141.98)/2024-08-31 (Price: 149.5927),11.06%/2.58%/6.52%,-0.94%/-5.59%/-3.1%,"5.59%, 36.99%",2.7 years/5.1 months/1.4 year,2.7 years/0 days/1.3 year,2028-07-08/2025-04-09/2026-08-29,3.17%,4.63%,-1.46%,-0.02,0.23,170.9864/167.4494/166.33/No Horizontal Resistance/No Target/174.1807/No EMA 200 Target,124.54/100.54/117.2225/81.225/No F-Track Level/No F-Track Level/143.1,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),150.4
"^NSEI, Long, 2024-07-31 (Price: 24951.1504)",2026-05-31 (Price: 23547.75),"-5.62%, 1.9 year","75.0%, Past 20 years, 8","Monthly, is CONFIRMED on 2024-07-31",Already confirmed,"2026-06-23 (Price: 23824.0996), 4.52% below",1.9 year,"10, 2010-04-30 (Price: 5399.6499)",2024-06-30 (Price: 24010.5996),2024-07-31 (Price: 24951.1504),723/692/692 days,0.78% below/4.52% below/4.52% below,2010-04-30 (Price: 5399.6499)/2024-07-31 (Price: 23464.0286),12.44%/2.54%/7.03%,-5.62%/-5.62%/-5.62%,"5.62%, 14.78%",1.6 year/6 months/11.3 months,1.9 year/0 days/1.1 year,2026-11-12/2025-04-17/2025-12-04,5.26%,6.01%,-0.75%,-0.08,0.32,27124.3956/26705.2163/36682.05/No Horizontal Resistance/33071.3292/48196.8152/No EMA 200 Target,15780.25/15428.8669/23723.236/17945.8431/No F-Track Level/No F-Track Level/21921.5,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),23992.9492
"XLV, Long, 2024-02-29 (Price: 144.82)",2026-05-31 (Price: 149.47),"3.21%, 2.3 years","80.95%, Past 20 years, 21","Monthly, is CONFIRMED on 2024-02-29",Already confirmed,"2026-06-23 (Price: 152.18), 5.08% above",2.3 years,"0, 2021-12-31 (Price: 141.98)",2023-12-31 (Price: 136.38),2024-02-01 (Price: 142.2),905/873/845 days,11.59% above/7.02% above/5.08% above,2021-12-31 (Price: 141.98)/2024-02-29 (Price: 134.96),11.06%/2.58%/6.52%,-0.94%/-5.59%/-3.1%,"5.59%, 36.99%",2.7 years/5.1 months/1.4 year,2.7 years/0 days/1.3 year,2028-01-06/2024-10-07/2026-02-26,3.17%,4.63%,-1.46%,-0.02,0.23,157.5207/154.2623/146.52/No Horizontal Resistance/153.114/174.1807/No EMA 200 Target,124.54/86.68/117.2225/81.225/No F-Track Level/No F-Track Level/133.48,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),140.55
"RELIANCE.NS, Long, 2024-02-29 (Price: 1460.8)",2026-05-31 (Price: 1321.2),"-9.56%, 2.3 years","84.62%, Past 20 years, 13","Monthly, is CONFIRMED on 2024-02-29",Already confirmed,"2026-06-23 (Price: 1309.5), 10.36% below",2.3 years,"0, 2021-10-31 (Price: 1269.7476)",2024-01-31 (Price: 1426.625),2024-02-29 (Price: 1460.8),874/845/845 days,8.21% below/10.36% below/10.36% below,2021-10-31 (Price: 1269.7476)/2024-02-29 (Price: 1334.1423),42.45%/7.3%/18.13%,-9.56%/-9.56%/-9.56%,"9.56%, 36.79%",1.4 year/7.1 months/1.1 year,2.3 years/7.1 months/1.3 year,2026-02-26/2025-01-02/2025-09-24,6.39%,11.54%,-5.15%,0.63,0.59,2144.8926/1725.643/1575.43/No Horizontal Resistance/1503.6962/2250.6285/No EMA 200 Target,1071.86/853.4344/1393.886/957.4297/No F-Track Level/No F-Track Level/1244.6,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),1435.0
"BYD.TO, Long, 2023-12-31 (Price: 278.49)",2026-06-23 (Price: 128.16),"-53.98%, 2.5 years","93.75%, Past 20 years, 16","Monthly, is CONFIRMED on 2023-12-31",Already confirmed,"2026-06-23 (Price: 128.16), 53.98% below",2.5 years,"0, 2021-02-28 (Price: 245.0)",2023-11-30 (Price: 258.74),2023-12-29 (Price: 278.49),936/907/905 days,50.47% below/53.98% below/53.98% below,2021-02-28 (Price: 245.0)/2023-12-31 (Price: 256.8514),21.68%/5.8%/10.46%,-53.77%/-53.77%/-53.77%,"53.77%, 59.58%",1.1 year/5.1 months/9.9 months,2.5 years/0 days/9.9 months,2025-07-26/2024-08-08/2025-03-05,12.45%,8.21%,4.24%,0.12,0.41,408.6841/307.6201/298.58/No Horizontal Resistance/312.8053/367.2583/No EMA 200 Target,138.66/166.48/229.0045/147.1212/No F-Track Level/No F-Track Level/241.57,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),258.84
